iter	RMSE
0	10.45847676
1	10.14317025
2	9.815909778
3	9.53685392
4	9.273562648
5	9.006071849
6	8.735110137
7	8.475568467
8	8.215771648
9	7.948047858
10	7.726999211
11	7.488783543
12	7.269080235
13	7.050313344
14	6.850363964
15	6.645433066
16	6.438972799
17	6.253951251
18	6.084828496
19	5.903458573
20	5.735146062
21	5.573130317
22	5.404485829
23	5.257037434
24	5.0977022
25	4.949991272
26	4.811933097
27	4.677014751
28	4.541566927
29	4.421199177
30	4.288518272
31	4.164304319
32	4.054802417
33	3.936550754
34	3.82742393
35	3.709935851
36	3.604416451
37	3.501256462
38	3.401308516
39	3.298999733
40	3.205785091
41	3.12591159
42	3.043069472
43	2.965448573
44	2.890744451
45	2.814446387
46	2.740316152
47	2.664659771
48	2.59631171
49	2.523872816
50	2.453904795
51	2.388614226
52	2.327275748
53	2.27415739
54	2.211891108
55	2.15581457
56	2.111298321
57	2.064010294
58	2.010371827
59	1.960969474
60	1.916904825
61	1.867966554
62	1.825705091
63	1.782370483
64	1.742088137
65	1.705521803
66	1.667673347
67	1.63192628
68	1.59332132
69	1.554294097
70	1.519158231
71	1.481505333
72	1.449821616
73	1.418422867
74	1.387429223
75	1.357196277
76	1.331303713
77	1.303971049
78	1.276966057
79	1.24802061
80	1.22411599
81	1.198001838
82	1.169480231
83	1.145995965
84	1.121564339
85	1.099690914
86	1.079042298
87	1.059449684
88	1.039023229
89	1.021004747
90	0.9995119268
91	0.9801774043
92	0.9650393047
93	0.9463239328
94	0.9306321134
95	0.9167238345
96	0.9008060522
97	0.886483778
98	0.8719809864
99	0.8573622327
100	0.8428703089
101	0.8295281605
102	0.814183208
103	0.8007450465
104	0.7883282507
105	0.7766573466
106	0.7643502751
107	0.7531851545
108	0.7412862927
109	0.7308746543
110	0.7207938874
111	0.7101289455
112	0.6992732092
113	0.6894890088
114	0.6792411681
115	0.6687741568
116	0.6606088595
117	0.6526377254
118	0.6460872051
119	0.638611785
120	0.6294373893
121	0.6212357468
122	0.6131165811
123	0.6080697341
124	0.6001177431
125	0.5919077354
126	0.584550185
127	0.5776308366
128	0.5710124136
129	0.5651651307
130	0.5594020366
131	0.5535794847
132	0.548710625
133	0.5436433037
134	0.537917363
135	0.5337788868
136	0.529200699
137	0.5249988875
138	0.5204439865
139	0.5156609874
140	0.5107645687
141	0.506283762
142	0.5020225509
143	0.4977118436
144	0.493328664
145	0.4890945552
146	0.4844802441
147	0.4798818101
148	0.4757157206
149	0.4718547751
150	0.4686884588
151	0.4651468534
152	0.4621404331
153	0.4592183868
154	0.4566050099
155	0.4540643183
156	0.4514903281
157	0.4490029142
